Auto parts for foreign cars,Auto repair and maintenance (SRT),Alcoholic drinks,Pharmacy,Banks,Fast food,Delivery of ready meals,Womens clothing,Cafe,Cosmetics / Perfume,Nail studios,Vegetables / Fruits,Hairdressers,Payment terminals,Postamats,Grocery stores,Points for issuing online orders,Restaurants,Insurance, Supermarkets,Flowers,Tire Service,population,bus_stop,subway_entrance,tram_stops,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified,target
0,0,1,4,0,1,0,3,0,2,1,3,6,3,4,0,1,0,2,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,9287
0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7163
0,0,0,4,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,3,1,0,460,0,0,0,0,0,0,0,5,0,0,0,7372
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
0,0,0,0,0,3,0,13,0,0,0,0,1,4,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12219
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837
0,0,0,2,0,0,0,1,2,2,6,0,5,2,1,0,1,0,0,2,1,0,298,0,0,0,0,0,0,0,0,2,0,0,1073
0,0,0,0,0,2,0,7,0,0,0,1,0,2,3,0,1,0,0,4,1,0,720,1,0,0,0,0,1,0,0,2,0,0,12056
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
0,0,2,6,0,2,0,10,0,3,0,5,7,3,1,3,3,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,107
0,0,0,2,0,2,0,4,0,4,0,0,4,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16632
0,0,1,2,0,0,0,0,0,3,0,0,4,2,0,0,0,0,0,4,0,0,825,0,0,0,0,0,0,0,0,0,0,0,13597
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579
0,2,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9853
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0,0,0,2,0,2,0,0,0,2,0,0,2,2,1,0,0,0,0,3,1,0,546,0,0,0,0,0,0,0,0,2,0,0,12464
2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,4,0,4,0,12,0,4,1,0,3,6,4,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23866
0,0,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,1100,0,0,0,0,0,0,0,0,1,0,2,6693
0,0,0,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7725
0,0,1,2,2,3,0,7,0,9,4,2,0,6,4,0,2,0,1,2,0,0,140,1,2,0,0,0,4,0,0,0,0,0,125
0,0,0,2,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,2,0,0,358,2,0,0,0,0,1,0,0,0,0,0,7916
1,0,1,2,2,1,0,2,0,6,6,2,3,4,4,0,3,0,0,0,0,0,420,1,1,0,0,0,2,0,2,0,0,0,119
0,0,1,2,3,7,0,2,3,1,1,1,2,1,0,1,1,0,1,0,0,0,208,1,2,0,0,0,23,7,0,0,0,0,6453
0,0,1,2,0,0,0,0,0,2,0,0,1,5,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17394
0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,2,0,5,0,0,242,0,0,0,0,0,8,0,0,0,0,0,25437
0,0,0,2,2,0,1,1,1,3,1,0,5,3,2,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2150
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380
