,geo_h3_10,city,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified
0,8a0bb0200907fff,Новосибирск,0,0,0,0,0,3,0,0
1,8a0bb0200927fff,Новосибирск,0,0,0,0,0,2,0,4
2,8a0bb020092ffff,Новосибирск,0,0,0,0,0,1,0,0
3,8a0bb0200937fff,Новосибирск,0,0,0,0,0,1,0,2
4,8a0bb0200977fff,Новосибирск,0,0,0,0,0,4,0,3
5,8a0bb0204027fff,Новосибирск,0,0,0,0,1,0,0,0
6,8a0bb020402ffff,Новосибирск,0,0,0,0,2,0,0,0
7,8a0bb0204067fff,Новосибирск,0,0,0,0,0,0,0,0
8,8a0bb020406ffff,Новосибирск,0,0,0,0,0,0,0,0
9,8a0bb0204117fff,Новосибирск,0,0,0,0,0,0,0,0
10,8a0bb0204137fff,Новосибирск,0,0,0,0,0,1,0,0
11,8a0bb0204147fff,Новосибирск,0,0,0,0,0,0,0,0
12,8a0bb020414ffff,Новосибирск,0,0,0,0,0,0,0,0
13,8a0bb0204157fff,Новосибирск,0,0,0,0,0,0,0,0
14,8a0bb020415ffff,Новосибирск,0,0,0,0,0,0,0,0
15,8a0bb0204167fff,Новосибирск,0,0,0,0,0,0,0,0
16,8a0bb020416ffff,Новосибирск,0,0,0,0,0,0,0,0
17,8a0bb0204177fff,Новосибирск,0,0,0,0,0,0,0,0
18,8a0bb02041a7fff,Новосибирск,0,0,0,0,0,0,0,0
19,8a0bb02041affff,Новосибирск,0,0,0,0,0,1,0,0
20,8a0bb0204287fff,Новосибирск,0,0,0,0,0,0,0,0
21,8a0bb020428ffff,Новосибирск,0,0,0,0,0,0,0,4
22,8a0bb020429ffff,Новосибирск,0,0,0,0,0,0,0,0
23,8a0bb02042d7fff,Новосибирск,0,0,0,0,0,0,0,0
24,8a0bb02042dffff,Новосибирск,0,0,0,0,0,0,0,4
25,8a0bb02042f7fff,Новосибирск,0,0,0,0,0,0,0,0
26,8a0bb0204327fff,Новосибирск,0,0,0,0,0,3,0,0
27,8a0bb0204607fff,Новосибирск,0,0,0,0,0,0,0,5
28,8a0bb020466ffff,Новосибирск,0,0,0,0,0,0,0,0
29,8a0bb020480ffff,Новосибирск,0,0,0,0,0,5,0,0
30,8a0bb020482ffff,Новосибирск,0,0,0,0,0,1,0,0
