Auto parts for foreign cars,Auto repair and maintenance (SRT),Alcoholic drinks,Pharmacy,Banks,Fast food,Delivery of ready meals,Womens clothing,Cafe,Cosmetics / Perfume,Nail studios,Vegetables / Fruits,Hairdressers,Payment terminals,Postamats,Grocery stores,Points for issuing online orders,Restaurants,Insurance, Supermarkets,Flowers,Tire Service,population,bus_stop,subway_entrance,tram_stops,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified,target
0,0,0,2,0,3,0,0,0,2,0,0,0,7,0,0,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333331
0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30652.666666666668
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,1162.1666666666663
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,321,0,0,0,0,0,0,0,0,0,0,0,2963.333333333333
0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,375,0,0,0,0,0,0,0,0,0,0,0,116.35
0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,4,0,0,654,0,0,0,0,0,0,0,0,0,0,0,84.75
0,0,0,0,0,2,0,0,1,4,0,2,2,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14452.166666666666
0,0,0,0,0,2,0,0,1,4,0,2,2,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.33333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.33333333333334
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,0,451,0,0,0,0,0,0,0,0,0,0,0,80.83333333333333
0,0,0,2,0,11,2,14,0,3,0,8,0,5,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.2
0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,6947.0
2,0,0,0,1,0,4,11,1,1,1,0,2,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104.5
0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,398,0,0,0,0,0,0,0,0,0,0,0,31721.0
0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,120,0,0,0,0,0,0,0,0,0,0,0,5670.666666666666
0,0,0,0,0,3,0,17,0,3,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5
0,0,0,0,0,8,2,25,4,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11998.833333333334
0,0,0,0,0,8,2,25,4,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.45
0,0,0,2,1,1,0,0,0,0,2,2,4,1,0,0,0,0,0,2,1,0,154,0,0,0,0,0,0,0,0,0,0,0,25635.0
0,0,0,4,0,6,2,35,3,6,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12009.166666666666
0,0,0,4,0,6,2,35,3,6,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,1061.3333333333333
0,0,0,2,7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,33090.16666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,56.55
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,163,0,0,0,0,0,0,0,0,0,0,0,548.6666666666666
0,0,0,2,0,2,2,3,0,6,2,0,1,3,0,0,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81666666666666
0,0,0,0,0,0,0,0,1,0,6,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17561.0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24696.500000000004
1,0,0,0,0,3,0,1,4,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13970.833333333336
0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,1,0,418,0,0,0,0,0,0,0,0,0,0,0,2478.5
0,0,0,2,0,2,0,0,0,0,0,5,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.23333333333333
0,0,0,4,0,2,2,6,0,2,0,1,0,3,4,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0
